[[11.23, 4.1], [13.86, 2.56], [47.87, 68.0], [42.86, 69.35]]
[[11.26, 4.1], [14.11, 2.96], [47.87, 68.0], [42.86, 69.35]]
[[11.26, 4.1], [13.98, 2.76], [47.88, 68.02], [42.85, 69.33]]
[[10.54, 3.14], [13.98, 2.76], [47.87, 68.0], [42.83, 69.33]]
[[10.51, 3.14], [13.89, 2.57], [47.88, 68.02], [42.82, 69.32]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.83, 69.33]]
[[10.44, 2.95], [13.89, 2.57], [47.87, 68.0], [42.83, 69.33]]
[[10.37, 2.76], [13.89, 2.57], [47.88, 68.02], [42.83, 69.33]]
[[10.34, 2.76], [13.98, 2.76], [47.89, 68.02], [42.83, 69.33]]
[[10.34, 2.76], [13.89, 2.57], [47.89, 68.02], [42.81, 69.31]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.82, 69.32]]
[[10.44, 2.95], [13.89, 2.57], [47.88, 68.0], [42.85, 69.34]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.85, 69.34]]
[[10.44, 2.95], [13.89, 2.57], [47.88, 68.02], [42.83, 69.33]]
[[10.44, 2.95], [13.98, 2.76], [47.88, 68.0], [42.85, 69.34]]
[[10.44, 2.95], [13.98, 2.76], [47.89, 68.02], [42.85, 69.34]]
[[10.44, 2.95], [13.86, 2.56], [47.88, 68.02], [42.83, 69.32]]
[[10.44, 2.95], [13.86, 2.56], [47.89, 68.02], [42.85, 69.33]]
[[10.44, 2.95], [13.86, 2.56], [47.88, 68.02], [42.85, 69.34]]
[[10.44, 2.95], [13.98, 2.76], [47.87, 68.0], [42.85, 69.33]]
[[10.34, 2.76], [13.98, 2.76], [47.88, 68.02], [42.85, 69.33]]
[[10.44, 2.95], [13.95, 2.76], [47.87, 68.0], [42.85, 69.33]]
[[10.44, 2.95], [13.86, 2.56], [47.89, 68.02], [42.82, 69.31]]
[[10.44, 2.95], [13.89, 2.57], [47.88, 68.02], [42.82, 69.31]]
[[10.44, 2.95], [13.86, 2.56], [47.89, 68.02], [42.82, 69.31]]
[[10.47, 2.95], [13.95, 2.76], [47.88, 68.02], [42.82, 69.31]]
[[10.44, 2.95], [13.95, 2.76], [47.89, 68.02], [42.82, 69.31]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.83, 69.31]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.82, 69.31]]
[[10.44, 2.95], [13.95, 2.76], [47.89, 68.02], [42.83, 69.32]]
[[10.44, 2.95], [13.86, 2.56], [47.89, 68.02], [42.84, 69.32]]
[[10.47, 2.95], [13.89, 2.57], [47.89, 68.02], [42.84, 69.31]]
[[10.44, 2.95], [13.86, 2.56], [47.88, 68.02], [42.83, 69.31]]
[[10.54, 3.14], [13.86, 2.56], [47.88, 68.02], [42.84, 69.32]]
[[10.44, 2.95], [13.89, 2.57], [47.88, 68.02], [42.86, 69.33]]
[[10.44, 2.95], [13.89, 2.57], [47.89, 68.02], [42.86, 69.34]]
[[10.47, 2.95], [13.86, 2.56], [47.9, 68.04], [42.86, 69.34]]
[[10.44, 2.95], [13.86, 2.56], [47.9, 68.04], [42.86, 69.33]]
[[10.44, 2.95], [13.86, 2.56], [47.9, 68.04], [42.87, 69.34]]
[[10.54, 3.14], [14.02, 2.76], [47.9, 68.04], [42.88, 69.34]]
[[10.44, 2.95], [13.98, 2.76], [47.91, 68.04], [42.87, 69.34]]
[[10.44, 2.95], [13.98, 2.76], [47.91, 68.04], [42.88, 69.34]]
[[10.54, 3.14], [13.98, 2.76], [47.91, 68.04], [42.87, 69.33]]
[[10.54, 3.14], [13.98, 2.76], [47.92, 68.06], [42.89, 69.36]]
[[10.54, 3.14], [13.98, 2.76], [47.9, 68.06], [42.88, 69.35]]
[[10.54, 3.14], [13.98, 2.76], [47.91, 68.04], [42.87, 69.33]]
[[10.54, 3.14], [13.98, 2.76], [47.91, 68.04], [42.87, 69.33]]
[[10.57, 3.14], [13.98, 2.76], [47.9, 68.04], [42.89, 69.35]]
[[10.57, 3.14], [14.08, 2.96], [47.9, 68.04], [42.88, 69.34]]
[[10.57, 3.14], [14.08, 2.96], [47.9, 68.04], [42.88, 69.34]]
[[10.47, 2.95], [14.08, 2.96], [47.91, 68.04], [42.88, 69.34]]
[[10.57, 3.14], [14.08, 2.96], [47.9, 68.04], [42.89, 69.35]]
[[10.57, 3.14], [14.08, 2.96], [47.9, 68.04], [42.89, 69.35]]
[[10.47, 2.95], [14.08, 2.96], [47.9, 68.06], [42.89, 69.35]]
[[10.47, 2.95], [13.98, 2.76], [47.9, 68.06], [42.88, 69.34]]
[[10.47, 2.95], [13.98, 2.76], [47.9, 68.06], [42.88, 69.34]]
[[10.47, 2.95], [14.08, 2.96], [47.9, 68.06], [42.89, 69.35]]
[[10.57, 3.14], [14.04, 2.96], [47.9, 68.06], [42.9, 69.35]]
[[10.57, 3.14], [14.04, 2.96], [47.9, 68.06], [42.89, 69.35]]
[[10.47, 2.95], [13.95, 2.76], [47.9, 68.06], [42.89, 69.35]]
[[10.44, 2.95], [13.95, 2.76], [47.9, 68.06], [42.9, 69.35]]
[[10.44, 2.95], [14.04, 2.96], [47.89, 68.06], [42.88, 69.34]]
[[10.44, 2.95], [14.08, 2.96], [47.9, 68.06], [42.9, 69.36]]
[[10.44, 2.95], [14.08, 2.96], [47.9, 68.06], [42.89, 69.35]]
