[[183.55, 528.83], [30.78, 34.45]]
[[183.39, 528.78], [30.6, 34.27]]
[[183.24, 528.74], [30.37, 34.0]]
[[183.32, 528.76], [30.24, 33.9]]
[[182.09, 524.97], [30.11, 33.9]]
[[181.93, 524.93], [29.94, 33.72]]
[[181.78, 524.89], [29.41, 32.88]]
[[181.7, 524.87], [29.31, 32.79]]
[[181.54, 524.83], [28.95, 32.32]]
[[181.31, 524.77], [28.72, 32.03]]
[[180.42, 521.12], [28.6, 32.03]]
[[180.11, 521.04], [28.44, 31.93]]
[[180.03, 521.02], [28.3, 31.93]]
[[179.8, 520.96], [28.23, 32.02]]
[[178.55, 517.29], [28.0, 31.83]]
[[179.49, 520.88], [27.93, 31.82]]
[[179.41, 520.86], [27.45, 31.14]]
[[179.34, 520.84], [27.26, 30.84]]
[[179.49, 520.88], [26.84, 30.24]]
[[178.47, 517.27], [26.69, 30.14]]
[[178.4, 517.25], [26.56, 30.14]]
[[178.32, 517.23], [26.47, 30.14]]
[[178.17, 517.19], [26.4, 30.13]]
[[178.17, 517.19], [26.21, 30.03]]
[[178.09, 517.17], [26.03, 29.73]]
[[178.17, 517.19], [25.89, 29.62]]
[[178.01, 517.15], [25.68, 29.31]]
[[178.01, 517.15], [25.46, 29.1]]
[[177.94, 517.13], [25.21, 28.79]]
[[177.86, 517.11], [24.95, 28.37]]
[[177.63, 517.05], [24.93, 28.47]]
[[177.55, 517.03], [24.83, 28.47]]
[[177.55, 517.03], [24.79, 28.47]]
[[176.41, 513.44], [24.58, 28.15]]
[[177.25, 516.95], [24.29, 27.72]]
[[176.33, 513.42], [24.02, 27.28]]
[[175.88, 513.3], [23.8, 26.95]]
[[175.88, 513.3], [23.64, 26.73]]
[[174.91, 509.81], [23.48, 26.51]]
[[174.53, 509.72], [23.4, 26.51]]
[[174.53, 509.72], [23.33, 26.5]]
[[174.61, 509.74], [23.36, 26.62]]
[[174.46, 509.7], [23.14, 26.28]]
[[174.31, 509.66], [22.97, 25.94]]
[[175.05, 513.09], [22.8, 25.71]]
[[174.16, 509.62], [22.66, 25.48]]
[[173.86, 509.54], [22.43, 25.14]]
[[173.56, 509.47], [22.23, 24.79]]
